Shape,Carat,Color,Clarity,Cut,Depth,Table,Polish,Symmetry,Measurement,Lab Certification,Price
Cushion,0.82,H,VS1,,68.4,60,Excellent,Very Good,5.21X5.21X3.57,GIA,US$2,972
Cushion,0.83,G,VVS2,,67.8,61,Excellent,Very Good,5.30X5.15X3.49,GIA,US$3,235
Cushion,10.06,I,VS2,,66.3,65,Excellent,Very Good,13.84X11.42X7.57,GIA,US$247,174
Cushion,3.13,L,VS2,,68.7,66,Excellent,Good,8.11X7.97X5.48,GIA,US$22,411
Cushion,1.03,F,SI1,,66,64,Excellent,Excellent,6.25X5.67X3.74,GIA,US$5,809
Cushion,1.03,F,SI1,,67.8,65,Excellent,Very Good,6.29X5.63X3.82,GIA,US$6,304
Cushion,1.54,E,SI1,,65,64,Excellent,Very Good,7.03X6.45X4.19,GIA,US$15,462
Cushion,1.07,K,VVS2,,65,61,Excellent,Good,5.86X5.81X3.78,GIA,US$3,176
Cushion,1.12,I,VS1,,67.7,64,Excellent,Very Good,5.77X5.70X3.86,GIA,US$4,828
Cushion,1.06,G,VS2,,67.1,66,Very Good,Good,6.07X5.85X3.93,GIA,US$6,513
Cushion,1.01,F,SI1,,69.4,59,Excellent,Excellent,6.02X5.56X3.85,GIA,US$6,181
Cushion,1.01,H,SI1,,69.6,59,Excellent,Very Good,5.89X5.65X3.93,GIA,US$5,454
Cushion,1.01,I,VS1,,69.9,59,Excellent,Very Good,5.91X5.48X3.83,GIA,US$4,767
Cushion,1.13,K,VS1,,69.7,62,Excellent,Very Good,5.77X5.71X3.98,GIA,US$3,222
Cushion,1.60,H,VVS2,,67.8,59,Excellent,Very Good,6.67X6.41X4.35,GIA,US$13,893
Cushion,5.09,M,VS1,,65.2,67,Very Good,Very Good,10.33X9.88X6.44,GIA,US$42,756
Cushion,1.01,G,VS1,,68.6,60,Excellent,Very Good,6.04X5.54X3.8,GIA,US$6,626
Cushion,1.01,D,SI1,,68.8,60,Very Good,Very Good,6.13X5.55X3.82,GIA,US$6,020
Cushion,1.01,G,VS2,,69.8,60,Excellent,Excellent,6.09X5.55X3.87,GIA,US$6,706
